entity_name,domain,meta_type,parent_class,iata_aidm_term,description,klm_context
Aircraft,Asset,THING,Asset,Aircraft,Physical airframe identified by civil aviation registration.,"PH-BHA (Boeing 787-9), PH-BXV (Boeing 737-800), PH-NXA (E195-E2)"
AircraftType,Asset,THING,Asset,AircraftModel,"Manufacturer model, ICAO/IATA type code, and engine spec.","B789 (Boeing 787-9), B738 (Boeing 737-800), E295 (Embraer E195-E2)"
Cabin,Asset,THING,Asset,CabinCompartment,Physical passenger seating cabin compartment.,"World Business Class (30 seats), Premium Comfort (21), Economy (243)"
Seat,Asset,THING,Asset,PassengerSeat,"Individual seating unit with row number, column letter, and pitch.","14A (Economy Comfort Window), 01A (World Business Full-Flat)"
Bag,Asset,THING,Asset,BaggageItem,Checked baggage item tracked with 10-digit IATA barcode tag.,Tag #0074829104 (23kg Checked Bag linked to PNR AB12CD)
FlightOperations,FlightOperations,THING,None,FlightOperation,"Operational flight instances, movements, and telemetry.",KLM OCC (Operations Control Centre) Dispatch & Flight Tracking
FlightInstance,FlightOperations,THING,FlightOperations,DatedFlightInstance,Dated physical execution of a flight schedule.,"KL641 / 2026-09-01 (AMS -> JFK, Aircraft: PH-BHA)"
DepartureEvent,FlightOperations,ACTION,Event,DepartureMovement,Off-blocks and wheels-up event with AIDX timestamp.,"KL641 Off-Blocks: 13:45 UTC, Wheels-Up: 14:02 UTC at AMS RWY 24"
ArrivalEvent,FlightOperations,ACTION,Event,ArrivalMovement,Touchdown and on-blocks event at destination gate.,"KL641 Touchdown: 22:05 UTC, On-Blocks: 22:15 UTC at JFK Gate B24"
DelayEvent,FlightOperations,ACTION,Event,DelayRecord,Flight disruption event with IATA AHM730 delay codes.,KL641 Delay: 25 mins (Code 51: Damage by Cargo Loading equipment)
CancellationEvent,FlightOperations,ACTION,Event,CancellationRecord,Flight cancellation record with reason and rebooking cascade.,Weather / ATC slot cancellations at AMS Schiphol
DiversionEvent,FlightOperations,ACTION,Event,DiversionRecord,Flight diversion to alternate aerodrome.,Diverted flight landing at BOS / EWR alternate airports
PositionReportEvent,FlightOperations,AUTO_RECORD,Event,TelemetryVector,"Live ADS-B transponder position vector (altitude, speed, heading).","PH-BHA at 36,000 ft, 485 kts groundspeed, Lat 54.2 N, Lon 32.1 W"
MaintenanceEvent,Asset,ACTION,Event,MaintenanceAction,"Line check, A-Check, C-Check, engine overhaul, or MEL defect log.",PH-BHA A-Check due 2026-10-15; PH-BXC Borescope Inspection
Person,Person,THING,None,Person,Human individual interacting with the airline system.,"Travelers, Flying Blue Members, Flight Pilots, Cabin Crew"
Passenger,Person,THING,Person,Passenger,Individual holding confirmed air transportation booking.,"Elena Novak (Flying Blue Gold), Marco Silva (Economy Traveler)"
CrewMember,Person,THING,Person,CrewMember,"Cockpit captain, first officer, purser, or cabin attendant.","Captain Jan Van Der Beek (B787 Type Rated), Purser Sophie De Jong"
CommercialDocument,CommercialDocument,THING,None,CommercialRecord,"Accountable commercial transaction, booking, or fare document.",Amadeus Altéa PSS & KLM.com Commercial Distribution Layer
PNR,CommercialDocument,AUTO_RECORD,CommercialDocument,PassengerNameRecord,6-character alphanumeric booking locator in GDS/PSS.,"Locator AB12CD (Novak / Elena), Locator XZ99KP (Silva / Marco)"
Booking,CommercialDocument,THING,CommercialDocument,BookingSegment,Confirmed passenger reservation linking passenger to flight segment.,Booking ID BKG-2026-088192 (Status: CONFIRMED)
Order,CommercialDocument,THING,CommercialDocument,IATA_Order,IATA ONE Order NDC commercial purchase transaction.,Order #ORD-KLM-9941029 (Contains Fare + Ancillaries)
Ticket,CommercialDocument,AUTO_RECORD,CommercialDocument,ElectronicTicket,Accountable 13-digit e-ticket document (KLM prefix: 074).,"074-2491048201 (Elena Novak), 074-9840192841 (Marco Silva)"
TicketCoupon,CommercialDocument,AUTO_RECORD,CommercialDocument,FlightCoupon,"Individual flight leg coupon in e-ticket (Coupon 1, Coupon 2).","Coupon 1: AMS-JFK (FLOWN), Coupon 2: JFK-AMS (OPEN)"
Fare,CommercialDocument,THING,CommercialDocument,FareBasis,"Fare basis code, tariff rules, change penalties, and class.","Fare Basis YSTD (Full Economy Flexible, 2x Bags included)"
Service,Service,THING,None,Service,"Commercial passenger product, service, or loyalty program.","Flying Blue Loyalty, Lounge Access, Inflight Dining"
AncillaryService,Service,THING,Service,AncillaryItem,"Optional purchased add-on service (Seat selection, extra bag, meal).","Extra Legroom Seat (14A), Special Meal (VGML), Additional 23kg Bag"
LoyaltyProgram,Service,THING,Service,FrequentFlyerProgram,Frequent flyer loyalty scheme with tier status rules.,Flying Blue (Air France-KLM Group Loyalty Program)
LoyaltyAccount,Service,AUTO_RECORD,Service,MemberAccount,"Individual member account with tier status, points, and XP points.","FB-90218402 (Elena Novak: Gold Tier, 180 XP, SkyPriority)"
CheckInEvent,FlightOperations,ACTION,Event,CheckInAction,"Passenger check-in transaction via web, mobile, kiosk, or desk.","Elena Novak checked in via KLM Mobile App (Seat 14A, 1 Bag)"
BoardingEvent,FlightOperations,ACTION,Event,BoardingScan,Optical gate scan confirming passenger embarked aircraft.,Elena Novak scanned at Gate D04 at 13:10 UTC (Seq #042)
Governance,Governance,THING,None,GovernanceEntity,"Data provenance, dataset metadata, and confidence assertions.",Data Catalog & Pipeline Lineage Tracking for Enterprise Semantic Mesh
SourceSystem,Governance,THING,Governance,SourceApplication,Originating source system application or feed.,"Amadeus Altéa PSS, SITA Baggage Hub, OpenSky Network, Jeppesen FliteDeck"
Dataset,Governance,THING,Governance,DataPackage,Snapshot version of ingested operational dataset.,"KLM-OPS-2026-09-01, OpenFlights-2026-08-30, Wikidata-Aviation-Q219342"
SourceRecord,Governance,AUTO_RECORD,Governance,SourceRecord,Raw source record ID and timestamp.,"Record #4948 (OpenFlights KLM Carrier Record), Record #Q219342 (Wikidata)"
Assertion,Governance,AUTO_RECORD,Governance,FactAssertion,Semantic statement asserted by a specific source record.,KLM brand name asserted by OpenFlights (conf: 0.98) & Wikidata (0.95)
ConfidenceScore,Governance,THING,Governance,QualityScore,Computed entity resolution and data confidence metric 0.0-1.0.,Match Score: 0.98 (Auto-Approved for Semantic Master Data)
